FORMATTED_ID	Series	SMILES	H3D Batch Number	Enzyme	MOD	IC50	Substrate 1	Substrate 1 Concentration	Substrate 2	Substrate 2 Concentration	RESULT_DATE	COMPLETED_DATE
H3D-021546	MLN0128	CCC(=O)Nc1cccc(c1)Cn1nc(c2c(ncnc12)N)-c1ccc2oc(nc2c1)N	H3D-021546-01	PvPI4KB		0.00238	ATP	10	PI	110	2023/05/05	2023/05/05
H3D-021547	KCGS	CCOC(=O)/C=C/c1c(nc(nc1N[C@H]1CC[C@H](O)CC1)N)C	H3D-021547-01	PvPI4KB		5.68	ATP	10	PI	110	2023/04/06	2023/04/06
H3D-021547	KCGS	CCOC(=O)/C=C/c1c(nc(nc1N[C@H]1CC[C@H](O)CC1)N)C	H3D-021547-01	PvPI4KB		8.09	ATP	10	PI	110	2023/04/06	2023/04/06
H3D-021548	KCGS	Cc1nc(nc2c1C=CC(=O)N2[C@H]1CC[C@H](O)CC1)N	H3D-021548-01	PvPI4KB		4.71	ATP	10	PI	110	2023/04/06	2023/04/06
H3D-021548	KCGS	Cc1nc(nc2c1C=CC(=O)N2[C@H]1CC[C@H](O)CC1)N	H3D-021548-01	PvPI4KB		6.25	ATP	10	PI	110	2023/04/06	2023/04/06
H3D-021606	PI4K_ImQn	CN1C(=O)N(C2CCOCC2)c2c1cnc1ccc(cc21)-c1ccccc1C	H3D-021606-01	PvPI4KB	<	0.000508	ATP	10	PI	110	2023/04/26	2023/04/26
H3D-021606	PI4K_ImQn	CN1C(=O)N(C2CCOCC2)c2c1cnc1ccc(cc21)-c1ccccc1C	H3D-021606-01	PvPI4KB		0.00745	ATP	10	PI	110	2023/05/09	2023/05/09
H3D-021607	PI4K_ImQn	COc1ccccc1-c1ccc2ncc3c(c2c1)N(C1CCOCC1)C(=O)N3C	H3D-021607-01	PvPI4KB	<	0.000508	ATP	10	PI	110	2023/04/26	2023/04/26
H3D-021607	PI4K_ImQn	COc1ccccc1-c1ccc2ncc3c(c2c1)N(C1CCOCC1)C(=O)N3C	H3D-021607-01	PvPI4KB		0.0000518	ATP	10	PI	110	2023/05/09	2023/05/09
H3D-021607	PI4K_ImQn	COc1ccccc1-c1ccc2ncc3c(c2c1)N(C1CCOCC1)C(=O)N3C	H3D-021607-01	PvPI4KB		0.00113	ATP	10	PI	110	2023/05/17	2023/05/17
H3D-021611	SFK82	CS(=O)c1ccc(cc1)-c1n[nH]c2ncc(nc12)-c1cn(nc1C)C	H3D-021611-01	PvPI4KB		1.4	ATP	10	PI	110	2023/06/21	2023/06/21
H3D-021669	SFK40	Nc1ncc(nc1-c1ccc(cc1)C(F)(F)F)-c1ccc(cc1)S(=O)(=O)F	H3D-021669-01	PvPI4KB		0.0315	ATP	10	PI	110	2023/04/06	2023/04/26
H3D-021669	SFK40	Nc1ncc(nc1-c1ccc(cc1)C(F)(F)F)-c1ccc(cc1)S(=O)(=O)F	H3D-021669-01	PvPI4KB		0.135	ATP	10	PI	110	2023/04/06	2023/04/18
H3D-021669	SFK40	Nc1ncc(nc1-c1ccc(cc1)C(F)(F)F)-c1ccc(cc1)S(=O)(=O)F	H3D-021669-01	PvPI4KB		5.01	ATP	10	PI	110	2023/05/09	2023/05/09
H3D-021673	PI4K_ImQn	CN(C)C(=O)CN1CCC[C@@H](C1)N1C(=O)N(C)c2cnc3ccc(cc3c21)-c1cccnc1C	H3D-021673-01	PvPI4KB	<	0.000508	ATP	10	PI	110	2023/04/26	2023/04/26
H3D-021673	PI4K_ImQn	CN(C)C(=O)CN1CCC[C@@H](C1)N1C(=O)N(C)c2cnc3ccc(cc3c21)-c1cccnc1C	H3D-021673-01	PvPI4KB		0.00552	ATP	10	PI	110	2023/05/09	2023/05/09
H3D-021707	PI4K_ImQn	CN1C(=O)N([C@H]2CCCN(C2)C(C)(C)C(=O)N)c2c1cnc1ccc(cc21)-c1ccccc1C |r|	H3D-021707-01	PvPI4KB		0.0257	ATP	10	PI	110	2023/04/26	2023/04/26
H3D-021707	PI4K_ImQn	CN1C(=O)N([C@H]2CCCN(C2)C(C)(C)C(=O)N)c2c1cnc1ccc(cc21)-c1ccccc1C |r|	H3D-021707-01	PvPI4KB		0.0198	ATP	10	PI	110	2023/05/09	2023/05/09
H3D-021717	PI4K_ImQn	CNC(=O)C(C)(C)N1CCC[C@@H](C1)N1C(=O)N(C)c2cnc3ccc(cc3c21)-c1ccccc1C	H3D-021717-01	PvPI4KB		0.346	ATP	10	PI	110	2023/04/26	2023/04/26
H3D-021717	PI4K_ImQn	CNC(=O)C(C)(C)N1CCC[C@@H](C1)N1C(=O)N(C)c2cnc3ccc(cc3c21)-c1ccccc1C	H3D-021717-01	PvPI4KB		0.281	ATP	10	PI	110	2023/05/11	2023/05/23
H3D-021717	PI4K_ImQn	CNC(=O)C(C)(C)N1CCC[C@@H](C1)N1C(=O)N(C)c2cnc3ccc(cc3c21)-c1ccccc1C	H3D-021717-01	PvPI4KB		0.36	ATP	10	PI	110	2023/05/17	2023/05/17
H3D-021733	PI4K_ImQn	CN1C(=O)N([C@H]2CCCN(C2)C(=O)CNC(=O)C2CCCC2)c2c1cnc1ccc(cc21)-c1cccnc1C |r|	H3D-021733-01	PvPI4KB		0.109	ATP	10	PI	110	2023/04/27	2023/04/27
H3D-021733	PI4K_ImQn	CN1C(=O)N([C@H]2CCCN(C2)C(=O)CNC(=O)C2CCCC2)c2c1cnc1ccc(cc21)-c1cccnc1C |r|	H3D-021733-01	PvPI4KB		0.0362	ATP	10	PI	110	2023/05/17	2023/05/17
H3D-021734	PI4K_ImQn	Cc1ncccc1-c1ccc2ncc(c(c2c1)N[C@H]1CCCNC1)C(=O)N	H3D-021734-01	PvPI4KB		0.0162	ATP	10	PI	110	2023/04/27	2023/04/27
H3D-021734	PI4K_ImQn	Cc1ncccc1-c1ccc2ncc(c(c2c1)N[C@H]1CCCNC1)C(=O)N	H3D-021734-01	PvPI4KB		0.0108	ATP	10	PI	110	2023/05/17	2023/05/17
H3D-021735	PI4K_ImQn	CNC(=O)c1cnc2ccc(cc2c1N[C@H]1CCCNC1)-c1cccnc1C	H3D-021735-01	PvPI4KB		0.488	ATP	10	PI	110	2023/04/27	2023/04/27
H3D-021735	PI4K_ImQn	CNC(=O)c1cnc2ccc(cc2c1N[C@H]1CCCNC1)-c1cccnc1C	H3D-021735-01	PvPI4KB		0.6	ATP	10	PI	110	2023/05/17	2023/05/17
