identifier,input-smiles,inchikey,smiles,true-value,pred-value,kerastuner_estimators-eos7w6n,kerastuner_estimators-eos2gw4,kerastuner_estimators-eos4u6p,kerastuner_estimators-eos78ao,kerastuner_estimators-eos39co,kerastuner_estimators-eos5axz,flaml_estimators-eos7w6n,flaml_estimators-eos2gw4,flaml_estimators-eos4u6p,flaml_estimators-eos78ao,flaml_estimators-eos39co,flaml_estimators-eos5axz,umap-0,umap-1,pca-0,pca-1
entry-0000605,NC1=NC(C2=CC=C(F)C=C2)=C(C3=NC(NC4=CC=C(N5CCOCC5)C=C4)=NC=C3)S1,OAIYZWZQCIKJJL-UHFFFAOYSA-N,Nc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)s1,0.0,0.3441518670044863,0.6004535555839539,0.5221449136734009,0.3376877903938293,0.1253797709941864,0.0692005455493927,0.04171147570014,0.4438060433995393,0.3103390555884078,0.453099018439315,0.3047534154033772,0.0,0.4410893013169729,1.7028346061706543,10.729148864746094,0.3159056007862091,-0.112150028347969
entry-0000606,FC(C=C1)=CC=C1C2=C(C3=NC(NC4=CC=C(N5CCNCC5)C=C4)=NC=C3)SC(NC(C)=O)=N2,XZWVSTWGJUAENP-UHFFFAOYSA-N,CC(=O)Nc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)s1,1.0,0.4665813239333572,0.0929103568196296,0.0292934253811836,0.085086852312088,0.9147692918777466,0.8070955276489258,0.978702187538147,0.0990565962305792,0.0962935278571134,0.1015838111114481,0.8096260708863688,1.0,0.1806858800385133,1.7816089391708374,5.495142936706543,-0.0798873305320739,2.3133487701416016
entry-0000607,FC(C=C1)=CC=C1C2=C(C3=NC(NC4=CC=C(N5CCNCC5)C=C4)=NC=C3)SC(NC(C6CC6)=O)=N2,BLBYEXNBBHKHRY-UHFFFAOYSA-N,O=C(Nc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)s1)C1CC1,0.0,0.4424651052386699,0.469895452260971,0.5264453291893005,0.3235905170440674,0.8327443599700928,0.3760066032409668,0.0016568810679018,0.3066057658393554,0.3485645118841877,0.453099018439315,0.5968682939767262,0.0,0.6054601918869985,3.069521188735962,11.40664768218994,0.9016896486282348,-0.5718004107475281
entry-0000608,O=C(C1CCN(C)CC1)NC(S2)=NC(C3=CC=C(F)C=C3)=C2C4=NC(NC5=CC=C(N6CCNCC6)C=C5)=NC=C4,VCBBHUKMCISGES-UHFFFAOYSA-N,CN1CCC(C(=O)Nc2nc(-c3ccc(F)cc3)c(-c3ccnc(Nc4ccc(N5CCNCC5)cc4)n3)s2)CC1,1.0,0.6199753122214404,0.5705645680427551,0.5369471907615662,0.3343610167503357,0.8826825618743896,0.7184831500053406,0.994096338748932,0.2139902316950903,0.5857511532269879,0.2120827588555028,0.902841399361189,1.0,0.3094529817047203,0.7370837926864624,10.419026374816896,-0.0309809036552906,-0.5839811563491821
entry-0000609,FC(C=C1)=CC=C1C(N=C(NS(=O)(CCC)=O)S2)=C2C3=NC(NC4=CC=C(N5CCNCC5)C=C4)=NC=C3,OYMXIUNKJIWRKO-UHFFFAOYSA-N,CCCS(=O)(=O)Nc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)s1,1.0,0.7020146567417015,0.874830961227417,0.590116024017334,0.4095095992088318,0.9906338453292848,0.7608180046081543,0.8018795847892761,0.4519716721551386,0.5982258427864762,0.4170239823642789,0.8402947711534071,1.0,0.521933329605443,0.3876203298568725,11.549696922302246,0.5361480116844177,-0.8673171997070312
entry-0000610,FC(C=C1)=CC=C1C(N=C(C2CCNCC2)S3)=C3C4=NC(NC5=NN=CS5)=NC=C4,GIASCJLVGROQGW-UHFFFAOYSA-N,Fc1ccc(-c2nc(C3CCNCC3)sc2-c2ccnc(Nc3nncs3)n2)cc1,1.0,0.6532322741809774,0.7582893371582031,0.6359949707984924,0.3003829717636108,0.4914963245391845,0.6535658240318298,0.9946688413619996,0.5114603643871937,0.5207143689012659,0.24964864299285,0.742953832764757,1.0,0.4293049322979135,3.03425669670105,13.158409118652344,0.8421269655227661,-0.4223218858242035
entry-0000611,FC(C=C1)=CC=C1C(N=C(C2CCNCC2)S3)=C3C4=NC(NC5=NN=C(C)S5)=NC=C4,GKQIAYLHELLDNZ-UHFFFAOYSA-N,Cc1nnc(Nc2nccc(-c3sc(C4CCNCC4)nc3-c3ccc(F)cc3)n2)s1,1.0,0.6700190188275615,0.6996839046478271,0.6357704401016235,0.2626565992832184,0.7200917601585388,0.843338668346405,0.9942632913589478,0.5114603643871937,0.5477141122451482,0.3952827606230572,0.827682119041031,1.0,0.4293049322979135,3.0504729747772217,13.132311820983888,0.8924106359481812,-0.4316818714141845
entry-0000612,FC(C=C1)=CC=C1C(N=C(C2CCNCC2)S3)=C3C4=NC(NC5=NC(C)=CS5)=NC=C4,GPIPTSYENVWCPR-UHFFFAOYSA-N,Cc1csc(Nc2nccc(-c3sc(C4CCNCC4)nc3-c3ccc(F)cc3)n2)n1,1.0,0.5841567508684496,0.567405641078949,0.0601917468011379,0.2803325653076172,0.6389365792274475,0.8165339231491089,0.9980427622795104,0.2369023471741746,0.5036074842438466,0.3217214297208092,0.8347296524043538,1.0,0.2174153992757123,-0.753760039806366,15.217329025268556,-0.5474082827568054,-0.8188132643699646
entry-0000613,FC(C=C1)=CC=C1C(N=C(C2CCNCC2)S3)=C3C4=NC(NC5=CC(C)=NO5)=NC=C4,QSVQOBYHXIDZGB-UHFFFAOYSA-N,Cc1cc(Nc2nccc(-c3sc(C4CCNCC4)nc3-c3ccc(F)cc3)n2)on1,1.0,0.6749405035724036,0.6498017907142639,0.6386050581932068,0.3357354998588562,0.6234043836593628,0.8875452280044556,0.8446617126464844,0.5114603643871937,0.5317970076984115,0.4170239823642789,0.8340912352785567,1.0,0.4043624035622813,3.0588936805725098,12.920385360717772,0.6874191761016846,-0.5226893424987793
entry-0000614,FC(C=C1)=CC=C1C(N=C(C2CCNCC2)S3)=C3C4=NC(NC5=NN(C)C(C)=C5)=NC=C4,SUCMYGZDCDSZOY-UHFFFAOYSA-N,Cc1cc(Nc2nccc(-c3sc(C4CCNCC4)nc3-c3ccc(F)cc3)n2)nn1C,1.0,0.4608852686312787,0.4368935823440552,0.1920695602893829,0.3117169141769409,0.8534616231918335,0.8939336538314819,1.7094753275159746e-06,0.2088662438408393,0.1254917922344972,0.2709998994314787,0.7801543887585899,1.0,0.1520079825864352,3.67250919342041,10.776179313659668,-0.2143544256687164,-0.8663532733917236
entry-0000615,FC(C=C1)=CC=C1C(N=C(C2CCNCC2)S3)=C3C4=NC(NC5=CC=CC=N5)=NC=C4,OQTSWHFEINHPDZ-UHFFFAOYSA-N,Fc1ccc(-c2nc(C3CCNCC3)sc2-c2ccnc(Nc3ccccn3)n2)cc1,1.0,0.3852115448675353,0.2897672653198242,0.124881736934185,0.2322025597095489,0.2159340679645538,0.7679577469825745,4.588839874486439e-05,0.1619112551555684,0.1192444339444507,0.1690078424130148,0.7908637340789192,1.0,0.1642902648687176,-1.03168523311615,4.451202392578125,-0.0591422654688358,-0.2490112781524658
entry-0000616,FC(C=C1)=CC=C1C(N=C(C2CCNCC2)S3)=C3C4=NC(NC5=NC=CN=C5)=NC=C4,QBFVRKFCKRVPST-UHFFFAOYSA-N,Fc1ccc(-c2nc(C3CCNCC3)sc2-c2ccnc(Nc3cnccn3)n2)cc1,1.0,0.6453898439479637,0.6916451454162598,0.5965529084205627,0.2818507254123688,0.3652114272117615,0.6660491228103638,0.9940154552459716,0.4519716721551386,0.5226784114583364,0.3510633202695962,0.7028789124266788,1.0,0.4237144922238329,3.151522636413574,13.120980262756348,0.7176796793937683,-0.3948164582252502
