Series	SMILES	IC50	Source
Penzo	FC1=C(OCCN2CCCC2)C=CC(NC3=NC=CC(C4=C(C5=CC(OC)=CC(OC)=C5)C=C(NC)S4)=N3)=C1	0.00037	literature 
Penzo	FC1=CC(NC2=NC(C3=C(C4=CC(OC)=CC(OC)=C4)N=C(NCC)S3)=CC=N2)=CC=C1OCCN5CCC5	0.00074	literature 
Penzo	COC1=C(OCCN2CCCC2)C=CC(NC3=NC(C4=C(C5=CC(OC)=CC=C5)N=C(NCC)S4)=CC=N3)=C1	0.00057	literature 
Penzo	COC1=CC(NC2=NC(C3=C(C4=CC=CC(O)=C4)N=C(NCC)S3)=CC=N2)=CC(OC)=C1OC	0.00019	literature 
Penzo	CCNC1=NC(C2=CC=C3C(OCO3)=C2)=C(S1)C4=CC=NC(NC5=CC(F)=C(OCCN6CCCC6)C=C5)=N4	0.00054	literature 
Penzo	FC1=C(OC2CCNCC2)C=CC(NC3=NC=CC(C4=C(C5=CC(OC)=CC(OC)=C5)N=C(NCC)S4)=N3)=C1	0.00065	literature 
Penzo	CN(CC1)CCN1C2=CC=C(NC3=NC(C4=C(C5=CC=C6C(OCO6)=C5)N=C(NCC)S4)=CC=N3)C=C2F	0.00079	literature 
Penzo	CN(CC1)CCN1C2=CC=C(NC3=NC(C4=C(C5=CC=CC(S(C)(=O)=O)=C5)N=C(NCC)S4)=CC=N3)C=C2F	0.00082	literature 
Penzo	CN(CC1)CCN1C2=CC=C(NC3=NC(C4=C(C5=CC=NC(OC)=C5)N=C(NCC)S4)=CC=N3)C=C2F	0.00062	literature 
Penzo	CN(CC1)CCN1C2=C(F)C=C(NC3=NC(C4=C(C5=CC(OC)=C(F)C=C5)N=C(NCC)S4)=CC=N3)C=C2	0.00102	literature 
Penzo	CCNC1=NC(C2=CC(OCO3)=C3C=C2)=C(S1)C4=CC=NC(NC5=CC=C(N6CCS(CC6)(=O)=O)N=C5)=N4	0.00052	literature 
Penzo	CCNC1=NC(C2=CC(OCO3)=C3C=C2)=C(S1)C4=CC=NC(NC5=CC=C(N6CCN(C(C)=O)CC6)N=C5)=N4	0.00072	literature 
Penzo	OCC1=CC(C2=C(SC(C(C)C)=N2)C3=CC=NC(NC4=CC=C(N5CCN(C(C)=O)CC5)N=C4)=N3)=CC=C1	0.00105	literature 
Penzo	FC1=C(C2=C(C3=CC=NC(N)=N3)SC(C4CCNCC4)=N2)C=CC=C1NS(C5=COC=C5)(=O)=O	0.00093	literature 
Penzo	FC1=C(C2=C(C3=CC=NC(N)=N3)SC(C4(C)CCNCC4)=N2)C=CC=C1NS(C5=COC=C5)(=O)=O	0.00081	literature 
Penzo	CCNC1=NC(C2=CC(O)=CC=C2)=C(C3=CC=NC(NC4=CC=C(S(C)(=O)=O)C=C4)=N3)S1	0.00112	literature 
Penzo	OC1=CC=CC(C2=C(C3=CC=NC(NC4=CC=CC(S(C)(=O)=O)=C4)=N3)SC(N(C)C)=N2)=C1	0.00086	literature 
Penzo	CS(C1=CC=CC(C2=C(C3=CC=NC(NC4=CC(C(N)=O)=CC=C4)=N3)SC(NCC)=N2)=C1)(=O)=O	0.00059	literature 
Penzo	NC1=NC(C2=C(C3=CC=CC(NS(C4=COC=C4)(=O)=O)=C3Cl)N=C(N5CCNCC5)S2)=CC=N1	0.0011	literature 
Penzo	NCCNC(C1=CC=CC(NC2=NC(C3=C(C4=CC(O)=CC=C4)N=C(N(C)C)S3)=CC=N2)=C1)=O	0.001	literature 
Penzo	FC1=CC=C(C=C1)C2=C(C3=NC(NC4=CC=C(N5CCN(C)CC5)C=C4)=NC=C3)SC(C6CCNCC6)=N2	0.0006	literature 
